ID,round,package,att_1,att_2,att_3,att_4,att_5,utility,inconsistent,treatment_status,trust_ID,coal_prox,high_income,aware,urban,genderFilter,ageFilter,support,unsupport
1,1,A,Eliminate2070,EnergyAccess,NothingEco,Gov&CivilSociety,TechSupportOnly,4,False,1,False,0,0,0,1,1.0,23,False,False
1,2,A,Eliminate2050,InsureWorkers,IdentityCoalRegions,GovAlone,NoInterference,4,False,1,False,0,0,0,1,1.0,23,False,False
1,3,A,Eliminate2050,LowPrices,WorkersCoalRegion,Gov&CivilSociety,FinSupportOnly,4,False,1,False,0,0,0,1,1.0,23,False,False
1,4,A,Reduce2030,InsureWorkers,WorkersCoalRegion,GovAlone,Fin&TechSupport,4,False,1,False,0,0,0,1,1.0,23,False,False
1,5,A,Reduce2030,EnergyAccess,IdentityCoalRegions,Gov&Businesses,FinSupportOnly,4,False,1,False,0,0,0,1,1.0,23,False,False
1,6,A,Reduce2030,EnergyAccess,NothingEco,Gov&LocalGov,TechSupportOnly,4,False,1,False,0,0,0,1,1.0,23,False,False
2,1,A,Eliminate2050,InsureWorkers,NothingEco,Gov&CivilSociety,FinSupportOnly,6,False,0,True,0,0,0,0,0.0,28,True,False
2,2,A,Reduce2030,EnergyAccess,IndustryCoalRegions,Gov&Businesses,Fin&TechSupport,7,False,0,True,0,0,0,0,0.0,28,True,False
2,3,A,Reduce2030,InsureWorkers,WorkersCoalRegion,Gov&CivilSociety,NoInterference,7,False,0,True,0,0,0,0,0.0,28,True,False
2,4,A,Eliminate2070,NothingSoc,NothingEco,Gov&Researchers,TechSupportOnly,5,False,0,True,0,0,0,0,0.0,28,True,False
2,5,A,Eliminate2070,NothingSoc,IndustryCoalRegions,Gov&CivilSociety,NoInterference,7,False,0,True,0,0,0,0,0.0,28,True,False
2,6,A,Reduce2030,NothingSoc,WorkersCoalRegion,Gov&Businesses,NoInterference,7,False,0,True,0,0,0,0,0.0,28,True,False
3,1,A,Eliminate2070,InsureWorkers,NothingEco,Gov&Businesses,FinSupportOnly,5,False,1,True,0,0,0,1,0.0,26,True,False
3,2,A,Reduce2030,InsureWorkers,IndustryCoalRegions,Gov&LocalGov,TechSupportOnly,7,False,1,True,0,0,0,1,0.0,26,True,False
3,3,A,Reduce2030,EnergyAccess,NothingEco,GovAlone,FinSupportOnly,6,False,1,True,0,0,0,1,0.0,26,True,False
3,4,A,Reduce2030,InsureWorkers,NothingEco,Gov&Researchers,NoInterference,4,False,1,True,0,0,0,1,0.0,26,False,False
3,5,A,Eliminate2050,NothingSoc,WorkersCoalRegion,Gov&LaborUnions,TechSupportOnly,5,False,1,True,0,0,0,1,0.0,26,True,False
3,6,A,Eliminate2070,NothingSoc,IdentityCoalRegions,Gov&LaborUnions,NoInterference,6,False,1,True,0,0,0,1,0.0,26,True,False
4,1,A,Eliminate2050,EnergyAccess,WorkersCoalRegion,Gov&LocalGov,FinSupportOnly,7,False,1,True,0,1,1,1,0.0,32,True,False
4,2,A,Eliminate2070,LowPrices,WorkersCoalRegion,Gov&Businesses,FinSupportOnly,7,False,1,True,0,1,1,1,0.0,32,True,False
4,3,A,Eliminate2050,InsureWorkers,IdentityCoalRegions,Gov&CivilSociety,FinSupportOnly,7,False,1,True,0,1,1,1,0.0,32,True,False
4,4,A,Eliminate2070,EnergyAccess,WorkersCoalRegion,Gov&CivilSociety,Fin&TechSupport,7,False,1,True,0,1,1,1,0.0,32,True,False
4,5,A,Reduce2030,EnergyAccess,IdentityCoalRegions,Gov&Businesses,TechSupportOnly,7,False,1,True,0,1,1,1,0.0,32,True,False
4,6,A,Eliminate2050,NothingSoc,IdentityCoalRegions,GovAlone,Fin&TechSupport,6,False,1,True,0,1,1,1,0.0,32,True,False
5,1,A,Eliminate2050,LowPrices,NothingEco,Gov&LocalGov,FinSupportOnly,4,False,1,False,0,0,0,0,0.0,24,False,False
